Date,NH3,TSP,CO2,TVOC,PM10,PM2.5,W_force,W_speed,Tem,RH
2022-12-03 00:00:00,6.3,377.3333333,1133,163,33.33333333,27,0,0,14.90153727,76.73492432
2022-12-03 00:30:00,7.133333333,291.6666667,1172.333333,138.6666667,42.66666667,29.66666667,0,0,14.93371257,76.24511719
2022-12-03 01:00:00,6.666666667,246.3333333,1192.333333,102,43.66666667,30.66666667,0,0,14.9158374,76.90073649
2022-12-03 01:30:00,6.666666667,278.3333333,1196.666667,119,47.33333333,32.33333333,0,0,15.05526367,77.13928223
2022-12-03 02:00:00,6.966666667,321.3333333,1218,148.3333333,38,29.33333333,0,0,15.11961426,76.4078776
2022-12-03 02:30:00,7.3,347.3333333,1284.333333,101.3333333,39.33333333,31,0,0,15.18038981,76.94498698
2022-12-03 03:00:00,6.6,301.3333333,1281.333333,135.3333333,43.66666667,33.33333333,0,0,15.26976563,77.6453654
2022-12-03 03:30:00,6.966666667,420,1272.666667,148,41,30.33333333,0,0,15.35556641,76.82342529
2022-12-03 04:00:00,7.2,325.3333333,1205.666667,94.33333333,42.33333333,31.66666667,0,0,15.23044027,76.38295492
2022-12-03 04:30:00,6.4,392.3333333,1172,89.66666667,43,32.33333333,0,0,15.13748942,76.97194417
2022-12-03 05:00:00,6.6,276.3333333,1115,91.33333333,43.66666667,30.66666667,0,0,14.9480127,77.11232503
2022-12-03 05:30:00,6.566666667,272.3333333,1064.666667,90,51.33333333,37.33333333,0,0,14.75496094,76.52943929
2022-12-03 06:00:00,6.133333333,310.3333333,1033.666667,75,46,36.33333333,0,0,14.57620931,77.16725667
2022-12-03 06:30:00,5.566666667,235.3333333,1006,77,45,35.66666667,0,0,14.59050944,77.47446696
2022-12-03 07:00:00,6.333333333,262.3333333,1009.333333,99.66666667,50.66666667,40.33333333,0,0,14.66916016,76.9144694
2022-12-03 07:30:00,5.8,313.6666667,957.6666667,57.33333333,57.33333333,42.66666667,0,0,14.33668213,76.88802083
2022-12-03 08:00:00,5.9,433.6666667,975.3333333,84.66666667,55.33333333,39.66666667,0,0,14.41533285,78.05989583
2022-12-03 08:30:00,6.266666667,507.6666667,1029.666667,133.6666667,52.33333333,43,0,0,14.71921061,78.55224609
2022-12-03 09:00:00,6.166666667,501,1376.333333,713,58.66666667,46.33333333,0,0,16.40662598,77.02840169
2022-12-03 09:30:00,5.766666667,514.6666667,1472,523.6666667,59.66666667,44.33333333,0,0,16.37087565,77.42156982
2022-12-03 10:00:00,5.5,570,1496.666667,267.3333333,59,46,0,0,15.9919222,76.73136393
2022-12-03 10:30:00,6.466666667,346.3333333,1583.666667,333.3333333,57.66666667,41.66666667,0,0,16.09917318,76.6108195
2022-12-03 11:00:00,6.3,261.3333333,1667.666667,300.6666667,55.66666667,42.66666667,0,0,16.37087565,76.89666748
2022-12-03 11:30:00,6.233333333,343.3333333,1732.333333,695.6666667,55,38,0,0,16.93573079,77.22066243
2022-12-03 12:00:00,6.1,308.3333333,1746.666667,509.3333333,57,44,0,0,17.26820882,72.9405721
2022-12-03 12:30:00,6.2,179.6666667,1586,233.3333333,57,42.66666667,0,0,17.0572819,72.6755778
2022-12-03 13:00:00,5.533333333,209.3333333,1499.333333,320.3333333,55.66666667,42.66666667,0,0,17.21458333,72.21171061
2022-12-03 13:30:00,5.8,255.3333333,1442.333333,287.3333333,58,46,0,0,17.43623535,71.18225098
2022-12-03 14:00:00,5.633333333,396.6666667,1387.333333,279.3333333,54,42.66666667,0,0,17.52561117,70.0378418
2022-12-03 14:30:00,6,546,1368,359.6666667,59.66666667,42.66666667,0,0,17.76871338,70.42948405
2022-12-03 15:00:00,6.033333333,471.6666667,1386,1143.333333,61.66666667,46,0,0,17.91886475,70.80891927
2022-12-03 15:30:00,5.466666667,263.6666667,1400,1052.333333,57.66666667,44.33333333,0,0,17.5291862,72.25748698
2022-12-03 16:00:00,5.1,246.3333333,1383.333333,399,64.33333333,50.33333333,0,0,16.88925537,73.5071818
2022-12-03 16:30:00,4.966666667,271.3333333,1352.666667,633,66.33333333,50.66666667,0,0,16.64257813,75.19226074
2022-12-03 17:00:00,6.366666667,296.6666667,1484.666667,547.3333333,64.33333333,48,0,0,17.10733236,73.83880615
2022-12-03 17:30:00,6.133333333,283.6666667,1370.666667,318,73.66666667,56.66666667,0,0,16.49600179,74.24214681
2022-12-03 18:00:00,5.8,301.3333333,1372.333333,387.3333333,81.66666667,63,0,0,16.20284912,76.45314535
2022-12-03 18:30:00,6.133333333,284,1365.666667,314.3333333,69.33333333,54.33333333,0,0,16.04554769,76.40838623
2022-12-03 19:00:00,6.6,279,1340.666667,291.3333333,61,50,0,0,15.77027018,75.6266276
2022-12-03 19:30:00,6.266666667,314.3333333,1367.666667,348.6666667,71.33333333,53.33333333,0,0,15.81317057,77.38494873
2022-12-03 20:00:00,6.666666667,361,1459.333333,444,76,57,0,0,16.07414795,76.9124349
2022-12-03 20:30:00,7.2,342,1516.666667,423,59.66666667,48.33333333,0,0,16.18497396,76.02640788
2022-12-03 21:00:00,6.933333333,301.3333333,1432.666667,249.6666667,53.33333333,39,0,0,15.90254639,76.93684896
2022-12-03 21:30:00,6.733333333,280,1406.333333,256,46,34.33333333,0,0,15.87394613,77.54160563
2022-12-03 22:00:00,7.133333333,272.6666667,1444.333333,241,45.66666667,33.33333333,0,0,15.94544678,76.33260091
2022-12-03 22:30:00,6.9,216.3333333,1481.666667,183.3333333,38,29.33333333,0,0,16.02767253,76.61743164
2022-12-03 23:00:00,6.433333333,193.3333333,1427.666667,184,41.66666667,28.33333333,0,0,16.00622233,76.94549561
2022-12-03 23:30:00,6.733333333,197.3333333,1378,184.6666667,39,31.33333333,0,0,15.95974691,76.19832357
2022-12-04 00:00:00,7.166666667,251.3333333,1346.666667,211.3333333,35.66666667,27,0,0,15.89897135,75.74920654
2022-12-04 00:30:00,6.766666667,263.6666667,1283.666667,145,37.33333333,28.66666667,0,0,15.74881999,76.00301107
2022-12-04 01:00:00,6.366666667,249.6666667,1213.666667,120.3333333,46.66666667,31.33333333,0,0,15.49856771,76.29496257
